Date,Open,High,Low,Close,Adj Close,Volume
2018-01-26,187.75,190.0,186.81,190.0,190.0,"17,759,200"
2018-01-25,187.95,188.62,186.6,187.48,187.48,"17,377,700"
2018-01-24,189.89,190.66,186.52,186.55,186.55,"24,334,500"
2018-01-23,186.05,189.55,185.55,189.35,189.35,"25,678,800"
2018-01-22,180.8,185.39,180.41,185.37,185.37,"21,059,500"
2018-01-19,180.85,182.37,180.17,181.29,181.29,"26,826,500"
2018-01-18,178.13,180.98,177.08,179.8,179.8,"23,304,900"
2018-01-17,179.26,179.32,175.8,177.6,177.6,"27,992,400"
2018-01-16,181.5,181.75,178.04,178.39,178.39,"36,183,800"
2018-01-12,178.06,181.48,177.4,179.37,179.37,"77,306,900"
2018-01-11,188.4,188.4,187.38,187.77,187.77,"9,588,600"
2018-01-10,186.94,187.89,185.63,187.84,187.84,"10,529,900"
2018-01-09,188.7,188.8,187.1,187.87,187.87,"12,393,100"
2018-01-08,187.2,188.9,186.33,188.28,188.28,"17,994,700"
2018-01-05,185.59,186.9,184.93,186.85,186.85,"13,574,500"
2018-01-04,184.9,186.21,184.1,184.33,184.33,"13,880,900"
2018-01-03,181.88,184.78,181.33,184.67,184.67,"16,886,600"
2018-01-02,177.68,181.58,177.55,181.42,181.42,"18,151,900"
