alert,felt,mag,magType,place,time,title,tsunami,type,parsed_place
,,1.6,ml,"112km NNW of Arctic Village, Alaska",,"M 1.6 - 112km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,1.2,ml,"25km NW of Ester, Alaska",,"M 1.2 - 25km NW of Ester, Alaska",0,earthquake, Alaska
,,0.59,md,"8km ESE of Mammoth Lakes, CA",,"M 0.6 - 8km ESE of Mammoth Lakes, CA",0,earthquake, CA
,,1.33,ml,"8km ENE of Aguanga, CA",,"M 1.3 - 8km ENE of Aguanga, CA",0,earthquake, CA
,,0.03,ml,"5km WSW of Anza, CA",,"M 0.0 - 5km WSW of Anza, CA",0,earthquake, CA
,,1.64,ml,"10km S of Progreso, B.C., MX",,"M 1.6 - 10km S of Progreso, B.C., MX",0,earthquake," B.C., MX"
,,0.57,ml,"12km N of Borrego Springs, CA",,"M 0.6 - 12km N of Borrego Springs, CA",0,earthquake, CA
,,1.44,ml,"14km ESE of Lincoln, Montana",,"M 1.4 - 14km ESE of Lincoln, Montana",0,earthquake, Montana
,7.0,2.81,md,"5km WNW of San Juan Bautista, CA",,"M 2.8 - 5km WNW of San Juan Bautista, CA",0,earthquake, CA
,,0.29,ml,"11km NE of Aguanga, CA",,"M 0.3 - 11km NE of Aguanga, CA",0,earthquake, CA
,,2.2,ml,"112km NE of Kodiak, Alaska",,"M 2.2 - 112km NE of Kodiak, Alaska",0,earthquake, Alaska
,,1.1,ml,"35km S of Ester, Alaska",,"M 1.1 - 35km S of Ester, Alaska",0,earthquake, Alaska
,,1.9,ml,"93km WNW of Arctic Village, Alaska",,"M 1.9 - 93km WNW of Arctic Village, Alaska",0,earthquake, Alaska
,,0.9,ml,"20km WSW of Smith Valley, Nevada",,"M 0.9 - 20km WSW of Smith Valley, Nevada",0,earthquake, Nevada
,,0.1,ml,"13km S of Verdi, Nevada",,"M 0.1 - 13km S of Verdi, Nevada",0,earthquake, Nevada
,,2.3,ml,"93km SW of Kaktovik, Alaska",,"M 2.3 - 93km SW of Kaktovik, Alaska",0,earthquake, Alaska
,,2.84,md,"6km NNW of Pinnacles, CA",,"M 2.8 - 6km NNW of Pinnacles, CA",0,earthquake, CA
,,2.16,md,"26km WNW of Volcano, Hawaii",,"M 2.2 - 26km WNW of Volcano, Hawaii",0,earthquake, Hawaii
,,2.01,md,"5km WSW of Volcano, Hawaii",,"M 2.0 - 5km WSW of Volcano, Hawaii",0,earthquake, Hawaii
green,,6.7,mww,"262km NW of Ozernovskiy, Russia",,"M 6.7 - 262km NW of Ozernovskiy, Russia",1,earthquake, Russia
,,2.36,ml,"22km ENE of Honaunau-Napoopoo, Hawaii",,"M 2.4 - 22km ENE of Honaunau-Napoopoo, Hawaii",0,earthquake, Hawaii
