"date","close","volume","open","high","low"
"2018/03/29","159.7900","59266330.0000","155.1500","161.4200","154.1400"
"2018/03/28","153.0300","59803800.0000","151.6500","155.8800","150.8000"
"2018/03/27","152.2200","77468330.0000","156.3100","162.8500","150.7500"
"2018/03/26","160.0600","125971800.0000","160.8200","161.1000","149.0200"
"2018/03/23","159.3900","53478870.0000","165.4400","167.1000","159.0200"
"2018/03/22","164.8900","73554350.0000","166.1300","170.2700","163.7200"
"2018/03/21","169.3900","106166700.0000","164.8000","173.4000","163.3000"
"2018/03/20","168.1500","129654100.0000","167.4700","170.2000","161.9500"
"2018/03/19","172.5600","87171850.0000","177.0100","177.1700","170.0600"
"2018/03/16","185.0900","23699600.0000","184.4900","185.3300","183.4100"
"2018/03/15","183.8600","15638830.0000","183.2400","184.0000","182.1900"
"2018/03/14","184.1900","16814350.0000","182.6000","184.2500","181.8500"
"2018/03/13","181.8800","17873720.0000","185.6100","185.9900","181.1100"
"2018/03/12","184.7600","15194040.0000","185.2300","186.1000","184.2200"
"2018/03/09","185.2300","18187880.0000","183.9100","185.5100","183.2100"
"2018/03/08","182.3400","16920570.0000","183.5600","184.4000","181.4500"
"2018/03/07","183.7100","19007100.0000","178.7400","183.8200","178.0700"
"2018/03/06","179.7800","14868900.0000","181.7800","182.3800","179.1100"
"2018/03/05","180.4000","16098150.0000","176.2000","181.1475","175.8900"
"2018/03/02","176.6200","19835420.0000","173.2900","177.1100","172.9900"
"2018/03/01","175.9400","23161610.0000","179.0100","180.1200","174.4100"
"2018/02/28","178.3200","18613520.0000","182.3000","182.8800","178.1400"
"2018/02/27","181.4600","15768550.0000","184.4500","184.7000","181.4600"
"2018/02/26","184.9300","17583030.0000","184.5800","185.6600","183.2228"
"2018/02/23","183.2900","18811750.0000","179.9000","183.3900","179.5100"
"2018/02/22","178.9900","17766680.0000","178.7000","180.2100","177.4100"
"2018/02/21","177.9100","23166300.0000","176.7100","181.2700","176.4000"
"2018/02/20","176.0100","21037920.0000","175.7700","177.9500","175.1100"
"2018/02/16","177.3600","20815180.0000","178.9900","179.8800","176.3000"
"2018/02/15","179.9600","20697440.0000","180.5000","180.5000","176.8400"
"2018/02/14","179.5200","28852470.0000","173.4500","179.8100","173.2119"
"2018/02/13","173.1500","21431580.0000","175.6200","175.9700","173.1000"
"2018/02/12","176.4100","32005590.0000","177.0600","177.5450","171.8400"
"2018/02/09","176.1100","39826840.0000","174.7600","176.9000","167.1800"
"2018/02/08","171.5800","38167570.0000","181.0100","181.8400","171.4815"
"2018/02/07","180.1800","27130700.0000","184.1500","185.0817","179.9500"
"2018/02/06","185.3100","37640430.0000","178.5700","185.7700","177.7400"
"2018/02/05","181.2600","32772080.0000","186.9300","190.6100","180.6100"
"2018/02/02","190.2800","25954720.0000","192.0400","194.2100","189.9800"
"2018/02/01","193.0900","53938680.0000","188.2200","195.3200","187.8900"
"2018/01/31","186.8900","36542750.0000","188.3700","189.8300","185.2200"
"2018/01/30","187.1200","20724760.0000","183.0100","188.1800","181.8400"
"2018/01/29","185.9800","20297330.0000","188.7500","188.8400","185.6301"
"2018/01/26","190.0000","17423300.0000","187.7500","190.0000","186.8100"
"2018/01/25","187.4800","17329360.0000","187.9500","188.6200","186.6000"
"2018/01/24","186.5500","23423200.0000","189.8900","190.6600","186.5200"
"2018/01/23","189.3500","25535950.0000","186.0500","189.5500","185.5500"
"2018/01/22","185.3700","21005910.0000","180.8000","185.3900","180.4100"
"2018/01/19","181.2900","26592440.0000","180.8500","182.3700","180.1702"
"2018/01/18","179.8000","23244010.0000","178.1300","180.9800","177.0800"
