ticker,date,close,volume,open,high,low
AMZN,2018-08-24,1905.39,2781770,1910.51,1916.01,1902.54
FB,2018-08-24,174.645,14519920,173.7,174.82,172.92
GOOG,2018-08-24,1220.65,946529,1208.82,1221.65,1206.3588
NFLX,2018-08-24,358.82,14705630,346.0,359.15,344.541
AAPL,2018-08-27,217.94,20400770,217.15,218.74,216.33
AMZN,2018-08-27,1927.68,3546496,1915.0,1927.7,1909.281
FB,2018-08-27,177.46,17853600,175.99,178.67,175.79
GOOG,2018-08-27,1241.82,1154962,1227.6,1243.09,1225.7160000000001
NFLX,2018-08-27,364.58,17371910,367.145,374.49,360.0
AAPL,2018-08-28,219.7,22751390,219.01,220.54,218.92
AMZN,2018-08-28,1932.82,3070482,1937.73,1941.7771,1928.82
FB,2018-08-28,176.26,15720690,178.1,178.2399,175.83
GOOG,2018-08-28,1231.15,1296532,1241.29,1242.545,1228.69
NFLX,2018-08-28,368.49,9190409,367.23,369.99,360.38
AAPL,2018-08-29,222.98,27074260,220.15,223.49,219.41
AMZN,2018-08-29,1998.1,6432354,1953.45,1998.6899,1948.94
FB,2018-08-29,175.9,18357780,176.295,176.79,174.75
GOOG,2018-08-29,1249.3,1295939,1237.45,1250.66,1236.3588
NFLX,2018-08-29,368.04,8103592,367.2,369.86,362.91
AAPL,2018-08-30,225.03,48696960,223.25,228.26,222.4
AMZN,2018-08-30,2002.38,7254573,1997.42,2025.57,1986.9
FB,2018-08-30,177.64,24105390,175.9,179.7901,175.7
GOOG,2018-08-30,1239.12,1320261,1244.23,1253.635,1232.59
NFLX,2018-08-30,370.98,10969500,365.0,376.8085,363.54
AAPL,2018-08-31,227.63,43177540,226.51,228.87,226.0
AMZN,2018-08-31,2012.71,4148432,2007.0,2022.38,2004.74
FB,2018-08-31,175.73,18025110,177.15,177.62,174.9815
GOOG,2018-08-31,1218.19,1812366,1234.98,1238.66,1211.2854
NFLX,2018-08-31,367.68,7918045,370.66,376.0,367.0766
AAPL,2018-09-04,228.36,27363960,228.41,229.18,226.63
AMZN,2018-09-04,2039.51,5703128,2026.5,2050.5,2013.0
