,ACS_GEO_ID,ACS_GEO_ID2,STFIPS,AREATYPE,AREA,TOTAL_POPULATION,CIVILIAN_LABOR_FORCE,NUMBER_EMPLOYED,UNEMPLOYMENT_RATE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,POVERTY_RATE,HIGH_SCHOOL_GRADUATE,BACHELOR_DEGREE_GRADUATE,MEDIAN_GROSS_RENT,RENT_PERCENT_INCOME,MEDIAN_HOUSING_VALUE,OWNER_COST_PERCENT_INCOME,MEAN_TRAVEL_TIME_TO_WORK,CIVILIAN_VETERANS,AREANAME_UNUSED
1799,0500000US22097,22,22,04,097,83172,33261,31300,5.9,36403,21162,26.2,76.7,14.8,652,30.6,108400,13.9,27.8,4.9,"St. Landry Parish, Louisiana"
1800,0500000US22001,22,22,04,001,62457,27473,25238,8.1,43396,23122,24.2,79.0,13.3,662,35.5,118000,13.1,28.9,5.8,"Acadia Parish, Louisiana"
1801,0500000US22101,22,22,04,101,50968,21084,19256,8.7,40485,22839,19.7,82.8,10.2,781,29.0,106900,14.6,20.9,5.5,"St. Mary Parish, Louisiana"
1802,0500000US22103,22,22,04,103,255155,124693,117839,5.5,68905,34658,11.5,90.5,33.8,1086,32.9,218500,17.0,30.7,8.7,"St. Tammany Parish, Louisiana"
1803,0500000US22111,22,22,04,111,22353,9027,8620,4.5,44100,24030,17.3,85.7,17.2,568,28.3,89200,11.2,30.4,6.7,"Union Parish, Louisiana"
1804,0500000US22017,22,22,04,017,245831,110556,103071,6.8,41797,26545,23.3,87.0,23.5,797,36.6,149200,16.0,21.1,8.6,"Caddo Parish, Louisiana"
1805,0500000US22005,22,22,04,005,123114,62994,59423,5.7,80527,34168,10.6,88.6,26.4,982,28.0,207400,14.5,29.5,5.6,"Ascension Parish, Louisiana"
1806,0500000US22055,22,22,04,055,241973,125368,119065,5.0,56999,31892,17.3,88.6,33.0,874,28.7,185300,15.8,24.2,6.4,"Lafayette Parish, Louisiana"
1807,0500000US22045,22,22,04,045,71887,33287,30188,9.3,46861,23290,22.1,79.9,13.6,768,30.8,115600,13.3,24.7,5.2,"Iberia Parish, Louisiana"
1808,0500000US22061,22,22,04,061,47246,21801,20796,4.6,35467,22863,30.3,88.5,35.6,729,37.4,154500,13.5,19.2,5.9,"Lincoln Parish, Louisiana"
1809,0500000US22091,22,22,04,091,10297,4591,3812,17.0,43886,24380,18.4,77.5,16.7,656,17.3,100100,13.1,37.9,5.5,"St. Helena Parish, Louisiana"
1810,0500000US22119,22,22,04,119,39242,15364,14567,5.2,28951,18962,29.8,83.9,15.4,688,44.6,81500,15.0,27.7,7.4,"Webster Parish, Louisiana"
1811,0500000US22031,22,22,04,031,27289,12099,10811,10.6,46006,26767,22.0,82.6,14.8,635,28.5,117300,13.4,27.3,7.1,"De Soto Parish, Louisiana"
1812,0500000US22047,22,22,04,047,32822,13904,12795,8.0,50161,23751,18.2,79.6,13.9,755,30.4,143700,12.4,26.3,4.7,"Iberville Parish, Louisiana"
1813,0500000US22063,22,22,04,063,138928,66492,63662,4.3,63389,29354,12.4,85.2,19.7,934,24.7,167100,14.9,34.5,7.1,"Livingston Parish, Louisiana"
1814,0500000US22067,22,22,04,067,25610,9784,9217,5.8,32929,18494,28.3,79.5,13.0,562,35.7,91100,13.2,24.8,5.7,"Morehouse Parish, Louisiana"
1815,0500000US22071,22,22,04,071,390845,197605,181973,7.9,41604,31385,23.7,86.5,37.6,998,36.5,231500,19.9,24.2,5.2,"Orleans Parish, Louisiana"
1816,0500000US22109,22,22,04,109,112054,49799,46657,6.3,48747,25924,20.6,79.0,15.6,853,31.6,152500,14.5,24.8,6.0,"Terrebonne Parish, Louisiana"
